北海道,Hokkaido,5431
青森県,Aomori-ken,1335
岩手県,Iwate-ken,1295
宮城県,Miyagi-ken,2328
秋田県,Akita-ken,1050
山形県,Yamagata-ken,1141
福島県,Fukushima-ken,1946
茨城県,Ibaraki-ken,2931
栃木県,Tochigi-ken,1986
群馬県,Gumma-ken,1984
埼玉県,Saitama-ken,7222
千葉県,Chiba-ken,6192
東京都,Tokyo-to,13300
神奈川県,Kanagawa-ken,9079
新潟県,Niigata-ken,2330
富山県,Toyama-ken,1076
石川県,Ishikawa-ken,1159
福井県,Fukui-ken,795
山梨県,Yamanashi-ken,847
長野県,Nagano-ken,2122
岐阜県,Gifu-ken,2051
静岡県,Shizuoka-ken,3723
愛知県,Aichi-ken,7443
三重県,Mie-ken,1833
滋賀県,Shiga-ken,1416
京都府,Kyoto-fu,2617
大阪府,Osaka-fu,8849
兵庫県,Hyogo-ken,5558
奈良県,Nara-ken,1383
和歌山県,Wakayama-ken,979
鳥取県,Tottori-ken,578
島根県,Shimane-ken,702
岡山県,Okayama-ken,1930
広島県,Hiroshima-ken,2840
山口県,Yamaguchi-ken,1420
徳島県,Tokushima-ken,770
香川県,Kagawa-ken,985
愛媛県,Ehime-ken,1405
高知県,Kochi-ken,745
福岡県,Fukuoka-ken,5090
佐賀県,Saga-ken,840
長崎県,Nagasaki-ken,1397
熊本県,Kumamoto-ken,1801
大分県,Oita-ken,1178
宮崎県,Miyazaki-ken,1120
鹿児島県,Kagoshima-ken,1680
沖縄県,Okinawa-ken,1415
